user_id,section_id,project_id,post_date,prompt,post_text,post_score,answer_date,answer_text,answer_score
32154,2,2,2019-01-08,Allegro Common Lisp software problem,<p>I've just installed the Allegro Common Lisp CL Enterprise edition. The installation manual said i,1,2019-01-08,"<p>No, it means that it worked ok. If there was an error, you'd end up in the debugger.</p>

<p>In t",5
22795,1,3,2019-01-02,How do I properly set up a single-table inheritance structure using Ember's Active Model Adapter and Rails' Active Model Serializer?,<p>I'm creating a board game with a human player vs. a bot player both types stored on a <code>playe,0,2019-01-04,<p>I ended up treating humans and bots as their own models since I would never really call <code>gam,0
32063,3,1,2019-01-25,Multiple file uploader $_POST issue,<p>I have the following form that uses some jQuery to allow an array of files to be submitted:</p> <,1,2019-01-25,"<p>a more flexible way to access the <code>$_FILES</code> if you dont know the input name</p>

<p>i ",1
19839,1,3,2019-01-14,Drag cursor in javascript?,<p>I need to set the drag cursor in some places but i can' see listened here <a href= http://www.w3s,2,2019-01-14,"<p>You can use the move cursor paramater:</p>

<pre><code>.target {cursor:move}
</code></pre>

<p>Th",5
47192,3,2,2019-01-04,SysEx will not send byte AD,<p>Ok trying this on two different systems(Mac and PC) in two different programs(my own and QLab) wr,1,2019-01-04,"<h2>MIDI is mostly 7-Bit only</h2>

<p>Have a look at this table: <a href=""http://midi.org/techspecs",2
25432,3,2,2019-01-23,How to strcat with intervals in C++?,<p>So here's my code:</p> <pre><code>#include &lt;iostream&gt; #include &lt;string.h&gt; using names,-4,2019-01-23,"<h1> Use C++ instead of C </h1>

<p>Since you are using C++, you should really write your code in a ",3
47013,3,2,2019-01-19,Deploying rest webservices in unlimited gb web host,<p>We are trying to deploy java restful webservies which we have implemented using jersey in unlimit,2,2019-01-20,"<p>I am not sure how much this would help but I used <a href=""http://jelastic.com/"" rel=""nofollow"">J",1
35236,2,1,2019-01-28,Call controller method from directive without defining it on the directive element - AngularJS,<p>I'm sure there's a simple answer to this that i've just missed.</p> <p><a href= http://jsfiddle.n,1,2019-01-28,<p>Actually I think doing that straightway using <code>$parent</code> is not a recommended way how d,5
40459,2,2,2019-01-06,Formatting Parameters in SSRS Report,<p>I have an SSRS report that takes 2 optional text parameters as below:</p> <ul> <li>StartDate Text,0,2019-01-06,"<p>I would use expression something like this:</p>

<pre><code>=Format(CDate(Left(20150131, 4) + ""-""",1
34355,3,2,2019-01-30,Web2py SQLFORM.grid Edit page,<p>I'm using SQLFORM.grid for my form. The view is showing up fine and i can hide fields. But when i,0,2019-01-30,"<p>To prevent fields from being included on edit forms, set both the <code>readable</code> and <code",1
4867,3,2,2019-01-18,How do you delegate class methods?,<p>I would like to make a class which delegates all instance and class methods to another class. My ,3,2019-01-18,"<p>You don't want delegation, you want direct subclassing:</p>

<pre><code>class Page &lt; PageAdapt",0
16819,1,3,2019-01-05,UDP/TCP hole punching vs UPnP vs STUN vs?,<p>I try to make a P2P Program and need help with getting through the NAT of the clients. I have rea,1,2019-01-05,"<p>UPnP requires software support in your router. Even when routers have it, it's sometimes turned o",9
