user_id,project_id,submit_date,text,rating
7,3,1547337600000,"OMG...... Let's start with the desserts first. Heaven!!!! Warm peanut butter cup is to die for and a must try. The salted caramel is amazing as well and full of flavor and worth the awards. We indulged and had be chocolate cake as well and it was rich and good but a little dry for a molten. Let's pause on all that for a minute. 
Ok going back to the food. We had the butchers plate which had some great choices on the charcuterie and then followed it up with dinner. For the table of three we had the fried chicken and biscuit, the sweet potato tortellini and the short rib stew. All three were good and well flavored. I could have taken a little more spice but it was seasoned well. Drinks special we had the polish and the old fashioned and both were on points 
Overall a great pick for dtown Phoenix with good service and a great fun atmosphere. Highly recommend",2
10,1,1547769600000,"Why does this store smell like a dirty cat litter box??? 
Second time I've been here and it's so gross! 
This is close to my new house so I hope they fix it before I find another grocery store. I have always liked fru's but I'd rather not be nauseous while grocery shopping.",2
17,2,1546819200000,"It's an easy decision to drive from Summerlin to Bronze Cafe at The Center when you know there's such DELICIOUS food to be had.  My husband and I love the Tree of Life and Roasted Veggie Sandwiches, accompanied by a watermelon chia drink, and topped off with either (or both) the vegan cheesecake and vegan strawberry cookies.  Our son loves the LGBTQ sandwich.  All the sides are yummy as well.  I can't wait to try the rest of the vegan options on the menu.  Again, totally worth the drive!",2
19,3,1548547200000,"Soooo, my wife and I typically go to fro yo places. We decided to stop out an old fav tonight and wow we were not disappointed. My ice cream took me back to when I was younger and my grandma would take me here. I am a huge fam of chocolate and peanut butter, really who isn't? I got the dark chocolate with Reese's peanut butter cups and a scoop of peanut butter. It was on fleek! They have a ton of different choices of ice cream to satisfy you taste buds. An assortment of toppings from snickers to gummy bears. The customer service was excellent very polite and didn't get angry when I asked for samples of all hahaha.",2
20,1,1547424000000,"Just went here and ordered a Big Mac and got it on a cheeseburger bun. I guess it's ok to rip customers off, I won't be going back.",2
20,2,1548028800000,"last week we gave this a try and were not disappointed..the decor and open feeling of the resturant and  kitchen. very attentive staff (lots of them) which was nice. drinks were good i had a"" pain killer"" which brought me back to my days on St john's island..nice ...had appitizers  grits and shirners sausage, and zuccunni pancakes.  our table had several entrees and due to other posts about the mussels i warned my friends what i had read ..but someone ordered them and to overwhelming reviews from the table they were very good. green chile stew good but small portion for a entree. chicken with mustard sauce was excellend. desserts ..not a smores fan but everyone else liked them also the peachs and cream was nice cool and refreshing end to a great dinner.  so give it a try ..we had a great meal and a good time..",1
21,2,1546560000000,"Okay. Nothing special and or ""wow"". Food is cheap and the portions are not that big. Service was okay. Lots of wing places in the area with better wings",1
22,1,1547942400000,"Came here for dinner at 6pm on a Saturday night as it was close by to the Phoenix Concert Theatre. From the outside, it is hard to spot as it is on the lower story - you have to walk down a flight of stairs and there is a black curtain that covers the door. It's a cozy restaurant with seating for around 25 people, but we were seated right away as it wasn't too packed yet. 

I ordered the Jerk Chicken Pasta, while my friend ordered the Jerk Chicken Dinner, and we were so impressed. Generous portions of chicken (which tasted amazing), and the pasta was a creamy, buttery, cheesy sauce - so delicious. The bill came to around $15/person (including tax/tip), and it was definitely worth it, we were so full. 

The waitress we had was very friendly, but she left halfway through our meal and service was slower once she was gone with only 2 servers remaining ( it took a while to get the bill).

Will definitely be back to try out their brunch menu!",2
22,2,1547596800000,"The food is okay. Typical chain fare. The problem we have in EVERY Olive Garden is the way they pace the service of the meal. I do not like getting my entrée 3 minutes after being served my soup/salad. I want to be able to enjoy my soup without the entrée getting cold. When I remember, I have asked the wait staff to hold off on the entrée and they'll do it. 
It is apparently the way they operate to quickly turn the table. Unfortunately it makes us feel rushed to get out of the place. 
Not good.",2
29,1,1547596800000,"I've been hesitant to try Pasta Bar since they first opened.  We've been to Turf half a dozen times and usually it is the price-point that keeps me from wandering to the back of the complex and trying Pasta Bar.  I finally got my mother to take us out so that I didn't have to pay for it.  

Pasta Bar seems to have the worst location of the three restaurants in the complex.  There is no patio, no windows, and no personality.  It is too bad because Italian places are always begging for style.  A mirror, a few paintings, some duct work, and a nicely-crafted bar sort of make up the entire ambiance of  PB.

The place was dead when we got there.  It was Saturday afternoon and Turf seemed to be pretty busy.  The waitress was helpful and informative when we got in and we looked over the lunch menu.  They had a lunch special where you picked lemonade or tea, got a salad, and a different type of cavatelli.  I had lemonade and the pesto pasta.  

The lemonade was the most sour thing I had ever drank.  In fact, I think it was made of liquefied lemon Warheads.  No amount of sugar was going to make this drinkable.  It was pretty disappointing.  

As far as the breadstick thing goes, they were fine.  I think I would rather them bring out a basket of breadsticks instead of them sitting on the table like a package of chopsticks.  They taste fine.

My pasta really wasn't that great.  The pesto was nice and light, which was a bit surprising.  It tasted good but could have had more garlic.  The pasta, however, was undercooked and rubbery.  I love non-flour pasta and I will almost always order gnocci or cavatelli if they are available and this was simply not that great.  It was fine but could have been better.

The salad was actually worse than the salad that comes with the Fez Burger.  I didn't think such a thing was possible, but Pasta Bar has figured out how to make it.  They apparently take an entire stalk of celery and chop it up and throw it in with 5 pieces of lettuce and an orange tomato.  The celery taste was so overwhelming that I couldn't possible eat more than two bites of it.  That's fine, I don't go to a pasta place for the salad, but I would have been fine with a traditional salad.

In all, the lunch special for $12 is a fine deal.  The pasta is decent.  My mother had the other cavatelli (with the pomodoro sauce).  It was much better than mine.  I can't give this place a bad review but I would probably not go back.  With so many other food options next door or just down the rail/street, it is hard to see myself going back.",2
