user_id,section_id,submit_date,text,rating
2,2,1547510400000,"Oh happy day, finally have a Canes near my casa. Yes just as others are griping about the Drive thru is packed just like most of the other canes in the area but I like to go sit down to enjoy my chicken. The cashiers are pleasant and as far as food wise i have yet to receive any funky chicken. The clean up crew zips around the dining area constantly so it's usually well kept. My only gripe is the one fella with Red hair he makes the rounds while cleaning but no smile or personality a few nights ago he tossed the napkins i just put on the table to help go with my meal. After I was done he just reached for my tray no ""excuse me or are you done with that?""  I realize he's trying to do his job quickly but a little table manners goes along way. That being said still like to grub here and glad that there's finally a Cane's close to me.",1
3,1,1548720000000,"Really good place with simple decor, amazing food and great hospitality.
Very impressed with the lunch portion. Although service took little extra time but I have no complaints since they are quite new in business. The green curry chicken was good and to the right spice balance I asked for. I will definitely recommend this place to others.",2
4,1,1548288000000,"I have been here twice. Very nice and laid back. I tried the weekend Southern menu and it was delicious! Collard greens, mac&cheese, ribs, BBQ chicken sandwich. The scone with clotted cream was divine!!!! The iced teas are very refreshing and I swear I drank a whole container myself both visits. 
The second time I had soup, salad and a sandwich. The salad had this amazing (raspberry? strawberry?, I forgot) vinaigrette. The sandwich was good, but I was kind of disappointed with the soup. It was potato and tasted too ""milky"". 
They change the menu often and now have a tea inspired one. Can't wait to go back and try it.
The owners are very nice and I hope they continue to do well.",2
4,3,1546992000000,"ORDER In (Delivery) Review

I discovered this place from the front desk of the airport hotel and they recommended it highly. I called to place my order for Delivery to my room. They were very accommodating.

Won Ton Soup - nice broth and tender won tons.

Chicken with Diced vegetables and Cashews - again, fresh vegetables were used, and good sized pieces of chicken.

Crispy Beef - much like a Ginger Beef, nice serving of Beef with a sweet chilli sauce. Very tasty.

Broccoli in Garlic sauce - came with peppers,Onions , Broccoli was not over done.

All in all for Delivery , this was really good. I am used to going to Authentic Asian in Vancouver. This hit the spot, and they also sent me a nice tub of Chilli Oil because I like it Hot.",2
7,2,1548288000000,"My husband and I go there once a week since last year. We LOVE seafood. Unfortunately, I regretfully say that this place is a hit and miss for us. Some weeks are good, fresh and saucy. Some weeks can be completely opposite. I never thought about writing a review until our experience last week. 
We ordered medium chicken wings and hot trifecta 2 lbs of shrimp. The wings came out SUPER spicy (probably hot) and the shrimp came out plain ( 99% butter and 1% spices). When we ordered we asked to make sure we have enough sauce but they came in almost dry. My husband and I love this place but we just never know what we will get that night. We just dodge the bullet and hopefully they will be better than last week.",2
14,1,1546473600000,"A very busy restaurant, make reservations, but well worth it.    Our party ordered the short ribs, salmon and steam bass for our main entrees and each dish was outstanding.   Will definitely go back to this restaurant when we are back in the Phoenix area.",2
23,1,1548633600000,GREAT SERVICE!! The food was amazing and very reasonably priced! Oh and the deserts are to die for!!,2
23,2,1547424000000,"We drive by Fruits and Roots almost daily and we finally decided to give it a try. Unfortunately the only good thing I have to say about the place is it has nice decor. We walked in and was greeted by one of the girls and as we were looking at the menu she asked if it was our first time and we told her yes. We assumed she would explain the menu but nope! My daughter's go to is a strawberry banana smoothie and the menu had a few smoothies that had strawberry and banana mixed with other stuff and I asked if they would be able to make one with just strawberry and banana and she had said they couldn't because it was already pre made. So we continued to look at the menu and a different girl came and said she would be able to make the smoothie so thank you to her. My husband and I knew we wanted to get an acai bowl so as
we looked at the different options we found one we wanted to try but on the menu it had a pitaya and we asked if we could get it with acai instead but again was told that it was already pre made. So we went with one that was made with acai but it had blueberries which we don't like and we weee hesistant to ask if they would be able to leave them out since everything seemed to be pre made but my husband did ask and luckily she said they could leave it out. Whew! It wasn't a long wait to get our order. My daughter drank her smoothie saying it was okay and our acai bowl was okay as well. To
me the best part was the granola and that's about it. At least we can say we finally tried this place and we definitely won't be back. We will be sticking to our usual spot Bowlology!",1
25,1,1548115200000,"I ordered a pizza at 4:49. Got an email that said my pizza would be delivered at 5:18 to5:28. 5:38 still no pizza. Called the store. They said it was out for delivery. I said I knew that it was suppose to be delivered 10 minutes ago. 5:48. Still no pizza. Called the store back. Again, I was told it was out for delivery. 5:48 called the store again. When I was on the phone the pizza came. When it arrived it was COLD.",2
25,3,1548806400000,I went into this store yesterday and it was horrible!!! It was sooooo dirty. I'm talking there was trash everywhere!!!  Not only that but it smelled like trash! It was 5 o'clock on a Friday afternoon so I completely understand it being a little messy but the store just looked horrible!!! Not to mention the were out of pretty much everything on the store. I honestly will probably start going down the road to the next Smith's.,2
29,2,1546300800000,"Huge breakfasts served all day. ""the all American"" was very good if you want something simple. Service was spotty mostly because the waiters would disappear when we needed their attention. They were able to separate the checks which was great. The waffle was forgettable and expensive. I recommend egg dishes! If you need a quick yummy breakfast in downtown I recommend this.",1
31,3,1548547200000,"I just want to note that I am all about eating quality sushi. I have been to many sushi places  and I know when the sushi is worth the money. Unfortunately, this is not one of them.  The presentation of the sushi is clean and organized but the quality of taste was not there. 

We ordered the Godzilla and  10 orders of sake nigiri and 10 order of shrimp nigiri. I was disappointed. It was not fresh enough for my taste and not good enough for the money I spent there. The fresh sushi was flavorless and the rolls did not have a correct balance of flavor. 

If you guys are big sushi fans and know the difference between great sushi, good sushi and poor sushi, then this is place in not for you. But if you do like spending $5 on one piece of Nigiri/sashimi (not even a set of two) cause you won big in the casino or something, then be my guest.",2
35,2,1547596800000,Absolutely delicious. Ordered chicken/beef kabob combo with spinach rice based on other reviews and not disappointed! The spinach samosa are also fantastic. My new favorite restaurant.,2
37,3,1547856000000,This place is clean and a great price the other places around is are horrible and have undesirable types (I.e. hookers) not here safe and quiet no bedbugs a huge plus would recommend it to anyone unless you are from the Phoenix area they will not rent to you unless you live more than 30 miles away after our 3rd stay we were informed of this policy such is stupid and discrimination of Phoenix and surrounding area residents so I'm going to file a complaint with corporate and talk to my lawyer!,2
43,3,1547251200000,"I went to a Spring Training game here on Monday 3/17/14.  The stadium is just off the freeway so I arrived in the area about 75 minutes before the game.  The traffic was backed up on the freeway and the main street was a mess.  I waited almost an hour to get to what I thought was the parking lot only to find out it was the parking for the local Marriott.  People were very frustrated cutting others off in traffic, being aggressive and I witnessed a road rage incident while sitting in the line.  By the time I made it to the Marriott lot, they had been out of spaces for 15 minutes but they did not have a method to notify people.  I blame the Marriot for most of the mess but the City of Tempe need to plan better for events.
Inside the stadium I found the place to be less than average for Spring Training games.  The food was not good, the customer service was average and we could not hear the speakers very well.  I will stick to other Spring Training facilities to see some games in the future.",2
45,1,1548720000000,"I must have walked by this place a thousand times working on the square. Never knew what it was exactly. Came up in a search of ""Asian "" ? Amway, saw the reviews and walked over. The buffalo paninis with a side of black bean and corn salsa was very good. At $7 the price was fair, I think the yelp menu may be outdated. The desert case looked great and they have breakfast items also. There was a gift area too. Cool place and I'm far from vegan.",2
45,3,1548720000000,"My absolutely favorite mushroom pizza in the city, Great brunch spot - really reasonable and you can always get a table, because it's really big and has indoor and outdoor space.  I think the ice cream is homeade.  A neighbourhood favorite!",2
